removed_feature,set,rep,rmse,accuracy,r2
winLen,Development,6,0.008001734361902246,0.46413697402778237,0.2141921231850974
winLen,Test,6,0.008017848698008763,0.44091549160630045,0.19431080989232297
geneLen,Train,6,0.007733608291408821,0.4801774403490018,0.22748452874235092
geneLen,Development,6,0.008001824568585806,0.465928278814291,0.21417440564566492
geneLen,Test,6,0.008055727530987527,0.43430292875993837,0.18668017053794206
none,Train,7,0.007629277068935573,0.5062788040332696,0.25304772265167985
none,Development,7,0.0077470858761891515,0.48635820646467914,0.23554264897128696
none,Test,7,0.007828006574239928,0.4730408483456427,0.22174593737947135
gerp,Train,7,0.007601181199165823,0.5118932036990665,0.25853910310326444
gerp,Development,7,0.007659323561483987,0.505389649738183,0.25276474575152974
gerp,Test,7,0.007760683805457308,0.4872033092795411,0.23507472454359513
mr,Train,7,0.0076802850668358045,0.49945483280061337,0.24302635192740074
mr,Development,7,0.007711811859467607,0.4983321882035557,0.24248825205965174
mr,Test,7,0.007910747190797757,0.45949584613986616,0.20520698005300042
tau,Train,7,0.007674949808212229,0.49925165382359604,0.24407767941988823
tau,Development,7,0.007816171661000954,0.47425856858929694,0.22184753280060976
tau,Test,7,0.007927874985553926,0.45735554080360574,0.20176159407293803
SIFTsorghum,Train,7,0.007587808371172763,0.5117402579689423,0.2611457261070991
SIFTsorghum,Development,7,0.0076038912340339465,0.5134939987898811,0.2635414422156127
SIFTsorghum,Test,7,0.007821153808171716,0.47258566396619445,0.22310793384680772
SIFTcounts,Train,7,0.008118772908694387,0.39685933237919574,0.1541236766682066
SIFTcounts,Development,7,0.008239829781016826,0.37364150416369907,0.1352053362234894
SIFTcounts,Test,7,0.008276699621238538,0.3651780306742294,0.129971616609326
frac,Train,7,0.007686076129208394,0.49450753010022974,0.2418843801759445
frac,Development,7,0.0077525696732057,0.4850538102124285,0.23446001926687066
frac,Test,7,0.007905872714368295,0.4542994710857499,0.2061861558851944
rho,Train,7,0.007763891451138804,0.47642027801036024,0.22645605541062386
rho,Development,7,0.007885317878655809,0.45679154179611575,0.20801869113955362
rho,Test,7,0.007941509439363939,0.44650895446070626,0.199013593248074
Mpi,Train,7,0.007615097561471829,0.5081800464727319,0.2558216612251636
Mpi,Development,7,0.007709444528967721,0.4938428141866333,0.24295325443568772
Mpi,Test,7,0.00777464272571334,0.48318562556491906,0.23232055136124674
Mexp,Train,7,0.007599304478857812,0.5096893850902993,0.2589051890851377
Mexp,Development,7,0.007746234241965219,0.48640728701374114,0.23571071274884003
Mexp,Test,7,0.007839677685491493,0.4702260821070425,0.2194235425667047
Sexp,Train,7,0.007608624655239129,0.5088481943523827,0.2570862410474666
Sexp,Development,7,0.007625537069561648,0.5108578466234687,0.25934255242417203
Sexp,Test,7,0.007823220349540107,0.4748726411456997,0.22269733159131533
